{'nome': 'Levi da Cunha', 'email': 'levi.cunha@gmail.com', 'cpf': '863.052.791-95', 'celular': '(31) 9164-05374', 'idade': '86', 'data_nascimento': '10/05/1935', 'data_cadastro': '09/04/1969', 'status': 'válido'}
{'nome': 'Caio Almeida', 'email': 'caio.almeida@gmail.com', 'cpf': '164.872.309-87', 'celular': '(51) 9701-86325', 'idade': '31', 'data_nascimento': '19/08/1990', 'data_cadastro': '18/12/2006', 'status': 'válido'}
{'nome': 'Ana Julia Ribeiro', 'email': 'ana.ribeiro@gmail.com', 'cpf': '139.068.745-75', 'celular': '(71) 9289-97986', 'idade': '84', 'data_nascimento': '07/02/1938', 'data_cadastro': '04/05/1951', 'status': 'válido'}
{'nome': 'Sarah Duarte', 'email': 'sarah.duarte@gmail.com', 'cpf': '932.507.681-03', 'celular': '(84) 9526-58886', 'idade': '100', 'data_nascimento': '22/05/1921', 'data_cadastro': '17/08/1996', 'status': 'válido'}
{'nome': 'Mariane Pereira', 'email': 'mariane.pereira@gmail.com', 'cpf': '682.097.153-21', 'celular': '(84) 9262-59444', 'idade': '27', 'data_nascimento': '01/08/1994', 'data_cadastro': '17/12/1997', 'status': 'válido'}
{'nome': 'Luiz Gustavo da Rocha', 'email': 'luiz.rocha@gmail.com', 'cpf': '389.410.267-50', 'celular': '(84) 9961-78515', 'idade': '76', 'data_nascimento': '24/09/1945', 'data_cadastro': '09/10/2021', 'status': 'válido'}
{'nome': 'Lucas Teixeira', 'email': 'lucas.teixeira@gmail.com', 'cpf': '489.216.503-42', 'celular': '(41) 9407-27823', 'idade': '33', 'data_nascimento': '19/08/1988', 'data_cadastro': '19/11/2015', 'status': 'válido'}
{'nome': 'Pietra Rodrigues', 'email': 'pietra.rodrigues@gmail.com', 'cpf': '623.045.198-06', 'celular': '(71) 9716-31410', 'idade': '97', 'data_nascimento': '31/01/1925', 'data_cadastro': '25/06/1971', 'status': 'válido'}
{'nome': 'Isabelly Ferreira', 'email': 'isabelly.ferreira@gmail.com', 'cpf': '589.107.624-11', 'celular': '(21) 9044-93251', 'idade': '51', 'data_nascimento': '28/01/1971', 'data_cadastro': '12/04/1987', 'status': 'válido'}
{'nome': 'Emilly Araújo', 'email': 'emilly.araujo@gmail.com', 'cpf': '956.084.273-00', 'celular': '(31) 9771-90812', 'idade': '71', 'data_nascimento': '26/08/1950', 'data_cadastro': '28/01/2002', 'status': 'válido'}
{'nome': 'Maitê Cardoso Santos', 'email': 'maite.santos@gmail.com', 'cpf': '623.870.154-44', 'celular': '(84) 9057-55257', 'idade': '98', 'data_nascimento': '28/02/1923', 'data_cadastro': '02/03/1972', 'status': 'válido'}
{'nome': 'Ana Lívia Lopes', 'email': 'ana.lopes@gmail.com', 'cpf': '596.073.128-21', 'celular': '(81) 9270-12784', 'idade': '50', 'data_nascimento': '10/12/1971', 'data_cadastro': '15/01/2013', 'status': 'válido'}
{'nome': 'Brenda da Costa', 'email': 'brenda.costa@gmail.com', 'cpf': '269.471.580-01', 'celular': '(81) 9889-35985', 'idade': '53', 'data_nascimento': '21/06/1968', 'data_cadastro': '11/09/1978', 'status': 'válido'}
{'nome': 'Maria Fernanda Lopes', 'email': 'maria.lopes@gmail.com', 'cpf': '760.291.384-13', 'celular': '(51) 9922-36049', 'idade': '68', 'data_nascimento': '09/08/1953', 'data_cadastro': '23/01/1965', 'status': 'válido'}
{'nome': 'Calebe Ribeiro', 'email': 'calebe.ribeiro@gmail.com', 'cpf': '389.076.214-03', 'celular': '(71) 9777-11630', 'idade': '31', 'data_nascimento': '09/10/1990', 'data_cadastro': '09/03/2005', 'status': 'válido'}
{'nome': 'Melissa Alves', 'email': 'melissa.alves@gmail.com', 'cpf': '328.741.906-40', 'celular': '(51) 9361-95638', 'idade': '37', 'data_nascimento': '10/10/1984', 'data_cadastro': '19/12/2013', 'status': 'válido'}
{'nome': 'Felipe Nunes', 'email': 'felipe.nunes@gmail.com', 'cpf': '609.245.138-70', 'celular': '(51) 9850-17620', 'idade': '32', 'data_nascimento': '01/03/1989', 'data_cadastro': '07/10/2011', 'status': 'válido'}
{'nome': 'Alícia Rodrigues', 'email': 'alicia.rodrigues@gmail.com', 'cpf': '931.402.768-69', 'celular': '(11) 9937-73486', 'idade': '58', 'data_nascimento': '23/06/1963', 'data_cadastro': '13/08/2000', 'status': 'válido'}
{'nome': 'Lavínia da Cunha Cunha', 'email': 'lavinia.cunha@gmail.com', 'cpf': '501.638.729-02', 'celular': '(71) 9025-25124', 'idade': '29', 'data_nascimento': '31/07/1992', 'data_cadastro': '09/03/2012', 'status': 'válido'}
{'nome': 'Vitor Hugo Carvalho', 'email': 'vitor.carvalho@gmail.com', 'cpf': '870.321.465-62', 'celular': '(61) 9143-10275', 'idade': '41', 'data_nascimento': '19/01/1981', 'data_cadastro': '20/10/1987', 'status': 'válido'}
{'nome': 'Mirella Martins', 'email': 'mirella.martins@gmail.com', 'cpf': '859.736.024-00', 'celular': '(31) 9761-34337', 'idade': '73', 'data_nascimento': '20/10/1948', 'data_cadastro': '19/05/1960', 'status': 'válido'}
{'nome': 'Vitor Azevedo', 'email': 'vitor.azevedo@gmail.com', 'cpf': '765.291.438-82', 'celular': '(71) 9014-43010', 'idade': '44', 'data_nascimento': '31/12/1977', 'data_cadastro': '07/08/2017', 'status': 'válido'}
{'nome': 'Enzo Gabriel Ribeiro', 'email': 'enzo.ribeiro@gmail.com', 'cpf': '428.016.973-03', 'celular': '(84) 9038-64367', 'idade': '74', 'data_nascimento': '02/10/1947', 'data_cadastro': '11/08/2012', 'status': 'válido'}
{'nome': 'Sofia Silva', 'email': 'sofia.silva@gmail.com', 'cpf': '156.370.498-66', 'celular': '(81) 9489-47200', 'idade': '23', 'data_nascimento': '04/04/1998', 'data_cadastro': '09/01/2013', 'status': 'válido'}
{'nome': 'Maria Cecília Freitas', 'email': 'maria.freitas@gmail.com', 'cpf': '430.156.892-15', 'celular': '(11) 9113-66774', 'idade': '34', 'data_nascimento': '29/08/1951', 'data_cadastro': '16/07/1967', 'status': 'válido'}
{'nome': 'Melissa Novaes', 'email': 'melissa.novaes@gmail.com', 'cpf': '801.945.627-94', 'celular': '(71) 9848-01743', 'idade': '38', 'data_nascimento': '26/06/1983', 'data_cadastro': '27/07/2010', 'status': 'válido'}
{'nome': 'Gabrielly Campos', 'email': 'gabrielly.campos@gmail.com', 'cpf': '831.260.579-77', 'celular': '(71) 9959-63627', 'idade': '68', 'data_nascimento': '01/10/1953', 'data_cadastro': '05/10/2000', 'status': 'válido'}
{'nome': 'Vitor Gabriel Gonçalves', 'email': 'vitor.goncalves@gmail.com', 'cpf': '156.907.834-39', 'celular': '(61) 9448-95231', 'idade': '61', 'data_nascimento': '17/01/1961', 'data_cadastro': '30/05/1976', 'status': 'válido'}
{'nome': 'Carlos Eduardo Pinto', 'email': 'carlos.pinto@gmail.com', 'cpf': '183.649.057-75', 'celular': '(81) 9000-16909', 'idade': '43', 'data_nascimento': '05/11/1978', 'data_cadastro': '16/05/1984', 'status': 'válido'}
{'nome': 'Luiz Gustavo Peixoto', 'email': 'luiz.peixoto@gmail.com', 'cpf': '408.693.521-05', 'celular': '(81) 9925-79492', 'idade': '64', 'data_nascimento': '03/03/1957', 'data_cadastro': '11/09/1984', 'status': 'válido'}
{'nome': 'Mariana Jesus', 'email': 'mariana.jesus@gmail.com', 'cpf': '302.876.914-03', 'celular': '(11) 9053-59592', 'idade': '44', 'data_nascimento': '24/08/1977', 'data_cadastro': '14/02/2002', 'status': 'válido'}
{'nome': 'Valentina Lopes', 'email': 'valentina.lopes@gmail.com', 'cpf': '463.281.705-80', 'celular': '(84) 9642-85244', 'idade': '70', 'data_nascimento': '29/09/1951', 'data_cadastro': '28/04/1970', 'status': 'válido'}
{'nome': 'Yago Aragão', 'email': 'yago.aragao@gmail.com', 'cpf': '432.710.596-16', 'celular': '(21) 9491-03313', 'idade': '60', 'data_nascimento': '31/12/1961', 'data_cadastro': '14/06/2013', 'status': 'válido'}
{'nome': 'Rodrigo Pinto', 'email': 'rodrigo.pinto@gmail.com', 'cpf': '263.745.918-28', 'celular': '(61) 9100-45522', 'idade': '66', 'data_nascimento': '17/04/1955', 'data_cadastro': '14/12/1973', 'status': 'válido'}
{'nome': 'Augusto Aragão', 'email': 'augusto.aragao@gmail.com', 'cpf': '170.684.539-10', 'celular': '(51) 9777-51641', 'idade': '94', 'data_nascimento': '24/09/1927', 'data_cadastro': '10/06/1982', 'status': 'válido'}
{'nome': 'Ana Vitória Rodrigues', 'email': 'ana.rodrigues@gmail.com', 'cpf': '287.943.056-92', 'celular': '(31) 9089-04144', 'idade': '100', 'data_nascimento': '16/05/1921', 'data_cadastro': '27/02/1988', 'status': 'válido'}
{'nome': 'Brenda da Cruz Carvalho', 'email': 'brenda.carvalho@gmail.com', 'cpf': '064.713.589-20', 'celular': '(31) 9699-18294', 'idade': '102', 'data_nascimento': '18/06/1919', 'data_cadastro': '20/05/2023', 'status': 'válido'}
{'nome': 'Isaac Freitas', 'email': 'isaac.freitas@gmail.com', 'cpf': '917.204.853-05', 'celular': '(11) 9250-44431', 'idade': '56', 'data_nascimento': '02/08/1965', 'data_cadastro': '08/12/1998', 'status': 'válido'}
{'nome': 'Enrico Santos', 'email': 'enrico.santos@gmail.com', 'cpf': '520.396.871-30', 'celular': '(81) 9542-35959', 'idade': '39', 'data_nascimento': '04/02/1983', 'data_cadastro': '04/08/2022', 'status': 'válido'}
{'nome': 'Guilherme Viana', 'email': 'guilherme.viana@gmail.com', 'cpf': '598.203.647-10', 'celular': '(61) 9266-14749', 'idade': '52', 'data_nascimento': '01/08/1969', 'data_cadastro': '07/12/1980', 'status': 'válido'}
{'nome': 'Ana Lívia da Paz Jesus', 'email': 'ana.jesus@gmail.com', 'cpf': '924.716.083-96', 'celular': '(71) 9508-44791', 'idade': '26', 'data_nascimento': '02/01/1996', 'data_cadastro': '25/10/2008', 'status': 'válido'}
{'nome': 'Elisa Caldeira', 'email': 'elisa.caldeira@gmail.com', 'cpf': '310.824.769-78', 'celular': '(61) 9128-22689', 'idade': '72', 'data_nascimento': '01/10/1949', 'data_cadastro': '19/04/1984', 'status': 'válido'}
{'nome': 'Lucas Gabriel Nascimento', 'email': 'lucas.nascimento@gmail.com', 'cpf': '324.065.179-34', 'celular': '(84) 9028-76751', 'idade': '49', 'data_nascimento': '01/07/1972', 'data_cadastro': '24/11/2018', 'status': 'válido'}
{'nome': 'Lucas Carvalho', 'email': 'lucas.carvalho@gmail.com', 'cpf': '654.012.893-24', 'celular': '(61) 9218-58669', 'idade': '73', 'data_nascimento': '12/07/1948', 'data_cadastro': '27/12/1993', 'status': 'válido'}
{'nome': 'Eloah da Paz', 'email': 'eloah.paz@gmail.com', 'cpf': '347.219.680-78', 'celular': '(81) 9134-38279', 'idade': '52', 'data_nascimento': '18/05/1969', 'data_cadastro': '17/12/2008', 'status': 'válido'}
{'nome': 'Ana Júlia Campos', 'email': 'ana.campos@gmail.com', 'cpf': '816.425.703-62', 'celular': '(41) 9641-40403', 'idade': '22', 'data_nascimento': '28/05/1999', 'data_cadastro': '25/05/2014', 'status': 'válido'}
{'nome': 'Alexandre Pinto', 'email': 'alexandre.pinto@gmail.com', 'cpf': '769.053.148-20', 'celular': '(41) 9272-10678', 'idade': '62', 'data_nascimento': '03/02/1960', 'data_cadastro': '06/03/1961', 'status': 'válido'}
{'nome': 'Maria Fernanda Moraes', 'email': 'maria.moraes@gmail.com', 'cpf': '014.276.859-67', 'celular': '(71) 9115-65760', 'idade': '25', 'data_nascimento': '25/07/1996', 'data_cadastro': '31/03/1998', 'status': 'válido'}
{'nome': 'Bryan Moreira', 'email': 'bryan.moreira@gmail.com', 'cpf': '967.048.532-00', 'celular': '(81) 9715-30687', 'idade': '21', 'data_nascimento': '07/03/2000', 'data_cadastro': '09/10/2021', 'status': 'válido'}
{'nome': 'Maria Sophia da Paz', 'email': 'maria.paz@gmail.com', 'cpf': '145.276.308-90', 'celular': '(11) 9436-95013', 'idade': '45', 'data_nascimento': '06/11/1976', 'data_cadastro': '17/08/2021', 'status': 'válido'}
{'nome': 'Pietra Costela', 'email': 'pietra.costela@gmail.com', 'cpf': '827.645.391-00', 'celular': '(51) 9977-47710', 'idade': '72', 'data_nascimento': '14/09/1949', 'data_cadastro': '09/07/2012', 'status': 'válido'}
{'nome': 'Eloah Gomes', 'email': 'eloah.gomes@gmail.com', 'cpf': '175.024.863-80', 'celular': '(31) 9575-88392', 'idade': '93', 'data_nascimento': '12/03/1928', 'data_cadastro': '04/01/2009', 'status': 'válido'}
{'nome': 'Elisa Freitas Viana', 'email': 'elisa.viana@gmail.com', 'cpf': '401.897.362-40', 'celular': '(41) 9577-90484', 'idade': '93', 'data_nascimento': '04/06/1928', 'data_cadastro': '09/06/1984', 'status': 'válido'}
{'nome': 'Isabelly da Cruz', 'email': 'isabelly.cruz@gmail.com', 'cpf': '031.286.957-68', 'celular': '(61) 9006-90008', 'idade': '39', 'data_nascimento': '19/11/1982', 'data_cadastro': '13/03/2000', 'status': 'válido'}
{'nome': 'Camila das Neves', 'email': 'camila.neves@gmail.com', 'cpf': '407.281.596-94', 'celular': '(81) 9477-73199', 'idade': '102', 'data_nascimento': '05/01/1920', 'data_cadastro': '21/11/1939', 'status': 'válido'}
{'nome': 'Noah da Conceição Mendes', 'email': 'noah.mendes@gmail.com', 'cpf': '894.265.701-01', 'celular': '(21) 9301-75787', 'idade': '61', 'data_nascimento': '23/02/1961', 'data_cadastro': '09/11/1995', 'status': 'válido'}
{'nome': 'Esther da Costa', 'email': 'esther.costa@gmail.com', 'cpf': '127.068.359-40', 'celular': '(51) 9072-52706', 'idade': '73', 'data_nascimento': '04/11/1948', 'data_cadastro': '19/05/2031', 'status': 'válido'}
{'nome': 'Gabrielly Moreira', 'email': 'gabrielly.moreira@gmail.com', 'cpf': '675.243.189-28', 'celular': '(81) 9596-88752', 'idade': '49', 'data_nascimento': '21/10/1972', 'data_cadastro': '25/01/2008', 'status': 'válido'}
{'nome': 'Carlos Eduardo Costela', 'email': 'carlos.costela@gmail.com', 'cpf': '328.975.104-04', 'celular': '(51) 9015-14945', 'idade': '63', 'data_nascimento': '11/06/1958', 'data_cadastro': '19/09/1991', 'status': 'válido'}
{'nome': 'Giovanna Correia', 'email': 'giovanna.correia@gmail.com', 'cpf': '906.375.214-80', 'celular': '(81) 9666-06584', 'idade': '86', 'data_nascimento': '12/05/1935', 'data_cadastro': '14/08/1946', 'status': 'válido'}
{'nome': 'Thales Freitas Souza', 'email': 'thales.souza@gmail.com', 'cpf': '021.786.359-03', 'celular': '(81) 9469-99065', 'idade': '101', 'data_nascimento': '20/04/1920', 'data_cadastro': '17/02/2008', 'status': 'válido'}
{'nome': 'Pedro Lucas Carvalho Mendes', 'email': 'pedro.mendes@gmail.com', 'cpf': '903.864.512-06', 'celular': '(11) 9603-89187', 'idade': '48', 'data_nascimento': '07/01/1974', 'data_cadastro': '12/03/1976', 'status': 'inválido', 'reason': ['Nome inválido: Pedro Lucas Carvalho Mendes - Correção: Precisa ter 25 ou menos caracteres']}
{'nome': 'Calebe da Mota', 'email': 'calebe.mota@gmail.com', 'cpf': '247.983.610-03', 'celular': '(21) 9248-24024', 'idade': '102', 'data_nascimento': '29/08/1919', 'data_cadastro': '31/12/1930', 'status': 'válido'}
{'nome': 'Davi Lucca Azevedo', 'email': 'davi.azevedo@gmail.com', 'cpf': '734.012.695-34', 'celular': '(21) 9831-91364', 'idade': '60', 'data_nascimento': '27/06/1961', 'data_cadastro': '03/02/2000', 'status': 'válido'}
{'nome': 'Isadora Pires', 'email': 'isadora.pires@gmail.com', 'cpf': '385.746.029-65', 'celular': '(11) 9826-40842', 'idade': '77', 'data_nascimento': '22/05/1944', 'data_cadastro': '20/10/2017', 'status': 'válido'}
{'nome': 'Benjamin Peixoto da Rocha', 'email': 'benjamin.rocha@gmail.com', 'cpf': '598.371.602-68', 'celular': '(41) 9003-83963', 'idade': '84', 'data_nascimento': '03/09/1937', 'data_cadastro': '26/05/1978', 'status': 'inválido', 'reason': ['Nome inválido: Benjamin Peixoto da Rocha - Correção: Precisa ter 25 ou menos caracteres']}
{'nome': 'Maitê Moraes', 'email': 'maite.moraes@gmail.com', 'cpf': '465.028.713-80', 'celular': '(31) 9810-99689', 'idade': '82', 'data_nascimento': '12/09/1939', 'data_cadastro': '18/05/1958', 'status': 'válido'}
{'nome': 'Isabella Fernandes', 'email': 'isabella.fernandes@gmail.com', 'cpf': '498.236.071-50', 'celular': '(84) 9995-21384', 'idade': '23', 'data_nascimento': '14/10/1998', 'data_cadastro': '21/01/2004', 'status': 'válido'}
{'nome': 'Sophia Aragão', 'email': 'sophia.aragao@gmail.com', 'cpf': '012.685.437-80', 'celular': '(41) 9859-05575', 'idade': '95', 'data_nascimento': '19/07/1926', 'data_cadastro': '03/08/1964', 'status': 'válido'}
{'nome': 'Sarah da Costa', 'email': 'sarah.costa@gmail.com', 'cpf': '483.170.965-48', 'celular': '(61) 9580-92292', 'idade': '24', 'data_nascimento': '12/09/1997', 'data_cadastro': '16/12/2019', 'status': 'válido'}
{'nome': 'Lucas Campos', 'email': 'lucas.campos@gmail.com', 'cpf': '348.702.516-71', 'celular': '(51) 9800-91715', 'idade': '31', 'data_nascimento': '10/07/1990', 'data_cadastro': '02/10/1996', 'status': 'válido'}
{'nome': 'Olivia Cardoso', 'email': 'olivia.cardoso@gmail.com', 'cpf': '906.817.534-39', 'celular': '(84) 9201-88893', 'idade': '71', 'data_nascimento': '08/05/1950', 'data_cadastro': '20/04/2011', 'status': 'válido'}
{'nome': 'Ana Julia Pires', 'email': 'ana.pires@gmail.com', 'cpf': '702.931.564-25', 'celular': '(61) 9009-24418', 'idade': '20', 'data_nascimento': '22/04/2001', 'data_cadastro': '26/12/2015', 'status': 'válido'}
{'nome': 'Elisa Caldeira', 'email': 'elisa.caldeira@gmail.com', 'cpf': '249.730.185-97', 'celular': '(81) 9143-97586', 'idade': '55', 'data_nascimento': '27/07/1966', 'data_cadastro': '23/08/2020', 'status': 'válido'}
{'nome': 'Benício Alves', 'email': 'benicio.alves@gmail.com', 'cpf': '478.365.129-91', 'celular': '(81) 9145-41879', 'idade': '49', 'data_nascimento': '10/03/1972', 'data_cadastro': '10/01/2020', 'status': 'válido'}
{'nome': 'Maria Eduarda da Luz', 'email': 'maria.luz@gmail.com', 'cpf': '981.745.026-02', 'celular': '(51) 9347-63500', 'idade': '91', 'data_nascimento': '06/03/1930', 'data_cadastro': '27/11/1944', 'status': 'válido'}
{'nome': 'Thomas Mendes', 'email': 'thomas.mendes@gmail.com', 'cpf': '978.603.514-39', 'celular': '(31) 9908-46325', 'idade': '63', 'data_nascimento': '18/11/1958', 'data_cadastro': '30/09/2010', 'status': 'válido'}
{'nome': 'Arthur Ramos', 'email': 'arthur.ramos@gmail.com', 'cpf': '306.758.492-92', 'celular': '(71) 9179-76919', 'idade': '58', 'data_nascimento': '21/05/1963', 'data_cadastro': '04/11/2017', 'status': 'válido'}
{'nome': 'Bianca Costa', 'email': 'bianca.costa@gmail.com', 'cpf': '264.798.531-64', 'celular': '(61) 9597-08432', 'idade': '32', 'data_nascimento': '21/05/1922', 'data_cadastro': '08/07/1957', 'status': 'válido'}
{'nome': 'Marina Barbosa Cunha', 'email': 'marina.cunha@gmail.com', 'cpf': '964.872.301-03', 'celular': '(21) 9707-08929', 'idade': '42', 'data_nascimento': '28/01/1980', 'data_cadastro': '10/02/1986', 'status': 'válido'}
